,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-06 00:30:00,74615.05395178562,-47420.18000253996,42493.47842022907,74615.05395178562,74615.05395178562,-76943.84844197372,-76943.84844197372,-76943.84844197372,-52603.214646178174,-52603.214646178174,-52603.214646178174,-24340.63379579554,-24340.63379579554,-24340.63379579554,0.0,0.0,0.0,-2328.7944901880983
1,2020-01-06 01:30:00,74587.32171752954,-40070.870115939826,51641.53854285638,74587.32171752954,74587.32171752954,-71650.22492333862,-71650.22492333862,-71650.22492333862,-50788.653412673935,-50788.653412673935,-50788.653412673935,-20861.571510664697,-20861.571510664697,-20861.571510664697,0.0,0.0,0.0,2937.0967941909184
2,2020-01-06 02:30:00,74559.58948327345,-34893.848504471585,55407.03410734076,74559.58948327345,74559.58948327345,-64422.30954888119,-64422.30954888119,-64422.30954888119,-46979.335631710994,-46979.335631710994,-46979.335631710994,-17442.97391717019,-17442.97391717019,-17442.97391717019,0.0,0.0,0.0,10137.27993439226
3,2020-01-06 03:30:00,74531.85724901735,-38059.26569104399,55388.73204162062,74531.85724901735,74531.85724901735,-63745.75324905858,-63745.75324905858,-63745.75324905858,-49643.05018080471,-49643.05018080471,-49643.05018080471,-14102.703068253868,-14102.703068253868,-14102.703068253868,0.0,0.0,0.0,10786.103999958774
4,2020-01-06 04:30:00,74504.12501476126,-40939.37789614555,51591.85604003385,74504.12501476126,74504.12501476126,-67877.0482378329,-67877.0482378329,-67877.0482378329,-57019.691669825166,-57019.691669825166,-57019.691669825166,-10857.356568007746,-10857.356568007746,-10857.356568007746,0.0,0.0,0.0,6627.076776928356
5,2020-01-06 05:30:00,74476.39278050518,-39765.55368367489,46811.209016267545,74476.39278050518,74476.39278050518,-69259.61919684274,-69259.61919684274,-69259.61919684274,-61537.45828729334,-61537.45828729334,-61537.45828729334,-7722.160909549411,-7722.160909549411,-7722.160909549411,0.0,0.0,0.0,5216.773583662434
6,2020-01-06 06:30:00,74448.6605462491,-32641.065724326727,51281.56667709856,74448.6605462491,74448.6605462491,-63895.494516066276,-63895.494516066276,-63895.494516066276,-59184.61335303182,-59184.61335303182,-59184.61335303182,-4710.881163034469,-4710.881163034469,-4710.881163034469,0.0,0.0,0.0,10553.166030182823
7,2020-01-06 07:30:00,74420.92831199299,-25439.86044646065,62537.903915108895,74420.92831199299,74420.92831199299,-55200.432276131825,-55200.432276131825,-55200.432276131825,-53364.68463209165,-53364.68463209165,-53364.68463209165,-1835.7476440401717,-1835.7476440401717,-1835.7476440401717,0.0,0.0,0.0,19220.496035861164
8,2020-01-06 08:30:00,74393.19607773691,-19519.86190245506,68895.10435871153,74393.19607773691,74393.19607773691,-48460.40741536685,-48460.40741536685,-48460.40741536685,-49353.00742088988,-49353.00742088988,-49353.00742088988,892.6000055230388,892.6000055230388,892.6000055230388,0.0,0.0,0.0,25932.78866237006
9,2020-01-06 09:30:00,74365.46384348081,-12429.990525663783,77159.92176902948,74365.46384348081,74365.46384348081,-42532.55089291681,-42532.55089291681,-42532.55089291681,-45997.70200870068,-45997.70200870068,-45997.70200870068,3465.151115783863,3465.151115783863,3465.151115783863,0.0,0.0,0.0,31832.912950564
10,2020-01-06 10:30:00,74337.73160922473,1950.167986022561,86594.71442046535,74337.73160922473,74337.73160922473,-28751.139974369955,-28751.139974369955,-28751.139974369955,-34625.68461999369,-34625.68461999369,-34625.68461999369,5874.544645623734,5874.544645623734,5874.544645623734,0.0,0.0,0.0,45586.591634854776
11,2020-01-06 11:30:00,74309.99937496864,33307.19565981542,119065.73819620068,74309.99937496864,74309.99937496864,519.2864179925101,519.2864179925101,519.2864179925101,-7595.7859696034475,-7595.7859696034475,-7595.7859696034475,8115.072387595954,8115.072387595954,8115.072387595954,0.0,0.0,0.0,74829.28579296115
12,2020-01-06 12:30:00,74282.26714071255,70673.24731575671,161398.73043535606,74282.26714071255,74282.26714071255,41906.57804462251,41906.57804462251,41906.57804462251,31723.91293040964,31723.91293040964,31723.91293040964,10182.665114212874,10182.665114212874,10182.665114212874,0.0,0.0,0.0,116188.84518533506
13,2020-01-06 13:30:00,74254.53490645645,111004.71214703112,200309.6071334263,74254.53490645645,74254.53490645645,80444.31375619797,80444.31375619797,80444.31375619797,68369.45151215208,68369.45151215208,68369.45151215208,12074.862244045886,12074.862244045886,12074.862244045886,0.0,0.0,0.0,154698.8486626544
14,2020-01-06 14:30:00,74226.80267220037,131367.57480794584,219900.41459291222,74226.80267220037,74226.80267220037,100494.9368680129,100494.9368680129,100494.9368680129,86704.17107999395,86704.17107999395,86704.17107999395,13790.76578801896,13790.76578801896,13790.76578801896,0.0,0.0,0.0,174721.73954021325
15,2020-01-06 15:30:00,74199.07043794428,126736.41747005311,215741.50258126168,74199.07043794428,74199.07043794428,98671.82406400012,98671.82406400012,98671.82406400012,83340.84455033501,83340.84455033501,83340.84455033501,15330.979513665103,15330.979513665103,15330.979513665103,0.0,0.0,0.0,172870.8945019444
16,2020-01-06 16:30:00,74171.33820368818,115979.00488663018,204454.63107024092,74171.33820368818,74171.33820368818,86437.14355063393,86437.14355063393,86437.14355063393,69739.60913559575,69739.60913559575,69739.60913559575,16697.534415038208,16697.534415038208,16697.534415038208,0.0,0.0,0.0,160608.48175432213
17,2020-01-06 17:30:00,74143.60596943209,109786.17169104588,195458.67306681504,74143.60596943209,74143.60596943209,79370.31076812695,79370.31076812695,79370.31076812695,61476.50904931974,61476.50904931974,61476.50904931974,17893.801718807197,17893.801718807197,17893.801718807197,0.0,0.0,0.0,153513.91673755902
18,2020-01-06 18:30:00,74115.873735176,115235.53410850464,199751.54819341833,74115.873735176,74115.873735176,82810.36434474085,82810.36434474085,82810.36434474085,63885.969558726705,63885.969558726705,63885.969558726705,18924.39478601414,18924.39478601414,18924.39478601414,0.0,0.0,0.0,156926.23807991686
19,2020-01-06 19:30:00,74088.14150091993,123436.11069354808,204912.23328766352,74088.14150091993,74088.14150091993,87285.2220898639,87285.2220898639,87285.2220898639,67490.16072067762,67490.16072067762,67490.16072067762,19795.061369186278,19795.061369186278,19795.061369186278,0.0,0.0,0.0,161373.36359078385
20,2020-01-06 20:30:00,74060.40926439977,108922.06661185046,198389.67520537082,74060.40926439977,74060.40926439977,78024.95944323015,78024.95944323015,78024.95944323015,57512.391668717595,57512.391668717595,57512.391668717595,20512.56777451256,20512.56777451256,20512.56777451256,0.0,0.0,0.0,152085.3687076299
21,2020-01-06 21:30:00,74032.6770278796,79677.85462420601,166961.27561244805,74032.6770278796,74032.6770278796,49562.429691183075,49562.429691183075,49562.429691183075,28477.853147140017,28477.853147140017,28477.853147140017,21084.576544043073,21084.576544043073,21084.576544043073,0.0,0.0,0.0,123595.10671906268
22,2020-01-06 22:30:00,74004.94479135945,43122.853981578985,132712.26492026588,74004.94479135945,74004.94479135945,11719.012284587763,11719.012284587763,11719.012284587763,-9800.507033430556,-9800.507033430556,-9800.507033430556,21519.519318018316,21519.519318018316,21519.519318018316,0.0,0.0,0.0,85723.95707594721
23,2020-01-06 23:30:00,73977.21255483928,13244.251255846515,102138.61531998846,73977.21255483928,73977.21255483928,-18401.017928552228,-18401.017928552228,-18401.017928552228,-40227.484488286136,-40227.484488286136,-40227.484488286136,21826.466559733904,21826.466559733904,21826.466559733904,0.0,0.0,0.0,55576.19462628705
24,2020-01-07 00:30:00,73949.48031831913,1920.348693297393,88668.38219601163,73949.48031831913,73949.48031831913,-30588.21881584273,-30588.21881584273,-30588.21881584273,-52603.21464597879,-52603.21464597879,-52603.21464597879,22014.995830136057,22014.995830136057,22014.995830136057,0.0,0.0,0.0,43361.261502476395
25,2020-01-07 01:30:00,73921.74808179896,2062.004049676977,91128.15793928434,73921.74808179896,73921.74808179896,-28693.593135800693,-28693.593135800693,-28693.593135800693,-50788.653412866704,-50788.653412866704,-50788.653412866704,22095.06027706601,22095.06027706601,22095.06027706601,0.0,0.0,0.0,45228.15494599826
26,2020-01-07 02:30:00,73894.0158452788,7239.874204050175,93869.92782600963,73894.0158452788,73894.0158452788,-24902.476665865393,-24902.476665865393,-24902.476665865393,-46979.335631756505,-46979.335631756505,-46979.335631756505,22076.858965891115,22076.858965891115,22076.858965891115,0.0,0.0,0.0,48991.539179413405
27,2020-01-07 03:30:00,73866.28360875863,4098.831996593636,93429.18414786112,73866.28360875863,73866.28360875863,-27672.339563675087,-27672.339563675087,-27672.339563675087,-49643.050180733684,-49643.050180733684,-49643.050180733684,21970.7106170586,21970.7106170586,21970.7106170586,0.0,0.0,0.0,46193.94404508355
