ds,y
2020-01-06 00:30:00,13104.00
2020-01-06 01:30:00,11720.00
2020-01-06 02:30:00,12680.00
2020-01-06 03:30:00,11990.00
2020-01-06 04:30:00,9216.00
2020-01-06 05:30:00,9682.00
2020-01-06 06:30:00,12273.00
2020-01-06 07:30:00,9816.00
2020-01-06 08:30:00,15097.00
2020-01-06 09:30:00,25444.00
2020-01-06 10:30:00,52534.00
2020-01-06 11:30:00,71678.00
2020-01-06 12:30:00,94058.00
2020-01-06 13:30:00,151786.00
2020-01-06 14:30:00,233030.00
2020-01-06 15:30:00,208306.00
2020-01-06 16:30:00,146164.00
2020-01-06 17:30:00,136609.00
2020-01-06 18:30:00,174906.00
2020-01-06 19:30:00,159032.00
2020-01-06 20:30:00,124591.00
2020-01-06 21:30:00,102572.00
2020-01-06 22:30:00,37681.00
2020-01-06 23:30:00,15073.00
2020-01-07 00:30:00,13235.00
2020-01-07 01:30:00,11600.00
2020-01-07 02:30:00,10104.00
2020-01-07 03:30:00,8621.00
2020-01-07 04:30:00,7609.00
2020-01-07 05:30:00,6171.00
2020-01-07 06:30:00,7196.00
2020-01-07 07:30:00,8961.00
2020-01-07 08:30:00,11987.00
2020-01-07 09:30:00,20731.00
2020-01-07 10:30:00,49400.00
2020-01-07 11:30:00,81652.00
2020-01-07 12:30:00,106274.00
2020-01-07 13:30:00,185843.00
2020-01-07 14:30:00,233288.00
2020-01-07 15:30:00,227120.00
2020-01-07 16:30:00,181557.00
2020-01-07 17:30:00,170518.00
2020-01-07 18:30:00,202299.00
2020-01-07 19:30:00,182517.00
2020-01-07 20:30:00,182406.00
2020-01-07 21:30:00,140977.00
2020-01-07 22:30:00,69840.00
2020-01-07 23:30:00,33339.00
2020-01-08 00:30:00,23766.00
2020-01-08 01:30:00,18552.00
2020-01-08 02:30:00,22324.00
2020-01-08 03:30:00,14887.00
2020-01-08 04:30:00,13369.00
2020-01-08 05:30:00,12542.00
2020-01-08 06:30:00,13908.00
2020-01-08 07:30:00,15298.00
2020-01-08 08:30:00,17851.00
2020-01-08 09:30:00,28146.00
2020-01-08 10:30:00,44804.00
2020-01-08 11:30:00,86832.00
2020-01-08 12:30:00,119607.00
2020-01-08 13:30:00,183231.00
2020-01-08 14:30:00,196917.00
2020-01-08 15:30:00,204299.00
2020-01-08 16:30:00,162672.00
2020-01-08 17:30:00,158620.00
2020-01-08 18:30:00,201295.00
2020-01-08 19:30:00,158020.00
2020-01-08 20:30:00,146389.00
2020-01-08 21:30:00,121344.00
2020-01-08 22:30:00,66801.00
2020-01-08 23:30:00,34825.00
2020-01-09 00:30:00,24922.00
2020-01-09 01:30:00,19056.00
2020-01-09 02:30:00,20672.00
2020-01-09 03:30:00,16788.00
2020-01-09 04:30:00,14935.00
2020-01-09 05:30:00,16624.00
2020-01-09 06:30:00,16158.00
2020-01-09 07:30:00,18308.00
2020-01-09 08:30:00,23351.00
2020-01-09 09:30:00,28802.00
2020-01-09 10:30:00,65798.00
2020-01-09 11:30:00,99012.00
2020-01-09 12:30:00,137528.00
2020-01-09 13:30:00,213046.00
2020-01-09 14:30:00,249050.00
2020-01-09 15:30:00,243612.00
2020-01-09 16:30:00,202057.00
2020-01-09 17:30:00,198752.00
2020-01-09 18:30:00,215561.00
2020-01-09 19:30:00,189420.00
2020-01-09 20:30:00,178148.00
2020-01-09 21:30:00,149809.00
2020-01-09 22:30:00,74255.00
2020-01-09 23:30:00,45591.00
2020-01-10 00:30:00,34397.00
2020-01-10 01:30:00,30272.00
2020-01-10 02:30:00,25449.00
2020-01-10 03:30:00,25210.00
2020-01-10 04:30:00,26297.00
2020-01-10 05:30:00,23119.00
2020-01-10 06:30:00,23023.00
2020-01-10 07:30:00,23499.00
